world,mode,seed,declared_horizon,intervention_cycle,n_f,failed,first_failure_cycle,first_failure_signature,same_failure_returned,same_failure_return_cycle,cycles_until_same_failure_returns,correct_decisions_post_handoff,decision_opportunities_post_handoff,post_handoff_decision_accuracy,policy_violations,final_config_accuracy,final_requirement_accuracy,retained_retry_demand,retained_latency_floor,retained_risk_tolerance,retained_memory_horizon,retained_handoff_depth,retained_token_capacity,packet_bytes,packet_tokens,evidence_reads,accepted_handoffs,rejected_handoffs,undecidable_handoffs
stateful_task,continuous_control,9101,320,80,96,1,96,required_state_loss,0,0,0,3,241,0.0124481328,0,0.5833333333,0.1666666667,0,0,0,1,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9101,320,80,80,1,80,configuration_error|required_state_loss,1,224,144,0,241,0.0,11,0.4166666667,0.0,0,0,0,0,0,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9101,320,80,96,1,96,required_state_loss,0,0,0,3,241,0.0124481328,0,0.5833333333,0.1666666667,0,0,0,1,0,0,19867,4359,0,1,0,0
stateful_task,unsigned_minimal_handoff,9101,320,80,192,1,192,required_state_loss,0,0,0,100,241,0.4149377593,0,0.4166666667,0.0,0,0,0,0,0,0,1942,555,0,1,0,0
stateful_task,olp_handoff,9101,320,80,192,1,192,required_state_loss,0,0,0,100,241,0.4149377593,0,0.4166666667,0.0,0,0,0,0,0,0,7270,1597,5,1,0,0
stateful_task,continuous_control,9102,320,80,80,1,80,invariant_failure,1,85,5,26,241,0.1078838174,0,0.3333333333,0.1666666667,0,0,0,0,0,1,0,0,0,0,0,0
stateful_task,empty_reset,9102,320,80,80,1,80,configuration_error|required_state_loss,1,224,144,0,241,0.0,11,0.25,0.0,0,0,0,0,0,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9102,320,80,80,1,80,invariant_failure,1,85,5,26,241,0.1078838174,0,0.3333333333,0.1666666667,0,0,0,0,0,1,19884,4361,0,1,0,0
stateful_task,unsigned_minimal_handoff,9102,320,80,80,1,80,invariant_failure,1,85,5,74,241,0.3070539419,0,0.25,0.0,0,0,0,0,0,0,1944,557,0,1,0,0
stateful_task,olp_handoff,9102,320,80,80,1,80,invariant_failure,1,85,5,74,241,0.3070539419,0,0.25,0.0,0,0,0,0,0,0,7272,1603,5,1,0,0
