run_family,mode,schedule,seed,cycle,event_id,amplitude,target,truth_delta,applied_delta,application_outcome,difficulty,correction_required,correction_success,checkpoint,checkpoint_failed,unsafe_attempt,first_failure_this_cycle,failed_by_cycle,config_accuracy,requirement_accuracy,invariant_failure_count,invariant_failures,known_dependency_count,unresolved_dependency_count,unresolved_dependencies,contradiction_count,retry_count,repair_succeeded,repaired_invariant_count,repaired_field_count,representation_tokens,total_tokens,context_pressure,handoff_loss,kappa,kappa_star_0,phi_star,phi_base,epsilon,delta_hol,vkd,subcritical_failure
amplitude_sweep,fresh_ground_truth,constant_low,101,1,amp-s101-e00,low,risk_tolerance,1,1,correct,0.0074025,1,0,0,0,0,0,0,1.0,1.0,0,,22,0,,0,0,0,0,0,256,291,0.0,0.0,0.26,0.75,1.0,0.99811343,0.0,0.0,0.3,0
amplitude_sweep,fresh_ground_truth,constant_low,101,2,amp-s101-e01,low,memory_horizon,1,1,correct,0.0168585,1,0,0,0,0,0,0,1.0,1.0,0,,22,0,,0,0,0,0,0,256,582,0.0,0.0,0.26,0.75,1.0,0.99811343,0.0,0.0,0.3,0
amplitude_sweep,fresh_ground_truth,constant_low,101,3,amp-s101-e02,low,latency_floor,35,35,correct,0.015603,0,0,0,0,0,0,0,1.0,1.0,0,,22,0,,0,0,0,0,0,256,863,0.0,0.0,0.26,0.75,1.0,0.99811343,0.0,0.0,0.3,0
amplitude_sweep,fresh_ground_truth,constant_low,101,4,amp-s101-e03,low,token_capacity,-1,-1,correct,0.01242,0,0,0,0,0,0,0,1.0,1.0,0,,22,0,,0,0,0,0,0,256,1144,0.0,0.0,0.26,0.75,1.0,0.99811343,0.0,0.0,0.3,0
amplitude_sweep,fresh_ground_truth,constant_low,101,5,amp-s101-e04,low,retry_demand,1,1,correct,0.0089355,0,0,1,0,0,0,0,1.0,1.0,0,,22,0,,0,0,0,0,0,256,1425,0.0,0.0,0.26,0.75,1.0,0.99811343,0.0,0.0,0.3,0
amplitude_sweep,fresh_ground_truth,constant_low,101,6,amp-s101-e05,low,retry_demand,1,1,correct,0.013476,0,0,0,0,0,0,0,1.0,1.0,0,,22,0,,0,0,0,0,0,256,1706,0.0,0.0,0.26,0.75,1.0,0.99811343,0.0,0.0,0.3,0
amplitude_sweep,fresh_ground_truth,constant_low,101,7,amp-s101-e06,low,memory_horizon,-1,-1,correct,0.0165015,0,0,0,0,0,0,0,1.0,1.0,0,,22,0,,0,0,0,0,0,256,1987,0.0,0.0,0.26,0.75,1.0,0.99811343,0.0,0.0,0.3,0
amplitude_sweep,fresh_ground_truth,constant_low,101,8,amp-s101-e07,low,memory_horizon,1,1,correct,0.0214095,0,0,0,0,0,0,0,1.0,1.0,0,,22,0,,0,0,0,0,0,256,2268,0.0,0.0,0.26,0.75,1.0,0.99811343,0.0,0.0,0.3,0
amplitude_sweep,fresh_ground_truth,constant_low,101,9,amp-s101-e08,low,token_capacity,1,0,missed,0.022902,1,0,0,0,0,0,0,0.83333333,0.83333333,0,,22,1,token_capacity,1,0,0,0,0,256,2559,0.0,0.0,0.305,0.75,0.925,0.99811343,0.04408796,0.01967593,0.225,0
amplitude_sweep,fresh_ground_truth,constant_low,101,10,amp-s101-e09,low,risk_tolerance,-1,-1,correct,0.0228525,1,0,1,0,0,0,0,1.0,1.0,0,,22,0,,0,0,0,0,0,256,2850,0.0,0.0,0.26,0.75,1.0,0.99811343,0.0,0.0,0.3,0
amplitude_sweep,fresh_ground_truth,constant_low,101,11,amp-s101-e10,low,handoff_depth,1,1,correct,0.0131625,0,0,0,0,0,0,0,1.0,1.0,0,,22,0,,0,0,0,0,0,256,3131,0.0,0.0,0.26,0.75,1.0,0.99811343,0.0,0.0,0.3,0
amplitude_sweep,fresh_ground_truth,constant_low,101,12,amp-s101-e11,low,latency_floor,-35,-35,correct,0.018084,0,0,0,0,0,0,0,1.0,1.0,0,,22,0,,0,0,0,0,0,256,3412,0.0,0.0,0.26,0.75,1.0,0.99811343,0.0,0.0,0.3,0
amplitude_sweep,fresh_ground_truth,constant_low,101,13,amp-s101-e12,low,handoff_depth,1,1,correct,0.020661,0,0,0,0,0,0,0,1.0,1.0,0,,22,0,,0,0,0,0,0,256,3693,0.0,0.0,0.26,0.75,1.0,0.99811343,0.0,0.0,0.3,0
