run_family,mode,schedule,seed,cycles,n_f,failed,first_failure_cycle,mean_checkpoint_accuracy,final_config_accuracy,final_requirement_accuracy,unsafe_attempts,retry_count,repair_successes,total_tokens,subcritical_first_failure
amplitude_sweep,fresh_ground_truth,constant_low,101,20,21,0,,1.0,1.0,1.0,0,0,0,5680,0
amplitude_sweep,persistent_history,constant_low,101,20,17,1,17,0.83333333,0.41666667,0.33333333,2,2,2,5185,1
amplitude_sweep,prose_summary,constant_low,101,20,5,1,5,0.625,0.58333333,0.66666667,2,4,2,5164,1
amplitude_sweep,receipt_ancestry,constant_low,101,20,10,1,10,0.8125,0.66666667,0.83333333,2,3,3,5529,1
amplitude_sweep,fresh_ground_truth,constant_medium,101,20,9,1,9,1.0,1.0,1.0,1,0,0,5850,1
amplitude_sweep,persistent_history,constant_medium,101,20,7,1,7,0.95833333,0.83333333,0.83333333,3,1,1,5440,1
amplitude_sweep,prose_summary,constant_medium,101,20,5,1,5,0.60416667,0.58333333,0.66666667,13,4,2,5334,1
amplitude_sweep,receipt_ancestry,constant_medium,101,20,7,1,7,0.79166667,0.58333333,0.83333333,7,2,2,5716,1
amplitude_sweep,fresh_ground_truth,constant_high,101,20,9,1,9,1.0,1.0,1.0,1,0,0,6010,1
amplitude_sweep,persistent_history,constant_high,101,20,7,1,7,0.60416667,0.33333333,0.5,13,3,3,5654,1
amplitude_sweep,prose_summary,constant_high,101,20,3,1,3,0.625,0.58333333,0.66666667,15,4,2,5494,0
amplitude_sweep,receipt_ancestry,constant_high,101,20,7,1,7,0.79166667,0.58333333,0.5,7,2,2,5891,1
amplitude_sweep,fresh_ground_truth,constant_low,202,20,21,0,,1.0,1.0,1.0,0,0,0,5640,0
amplitude_sweep,persistent_history,constant_low,202,20,5,1,5,0.70833333,0.58333333,0.5,8,4,3,5045,1
amplitude_sweep,prose_summary,constant_low,202,20,5,1,5,0.54166667,0.41666667,0.83333333,0,4,2,5124,1
amplitude_sweep,receipt_ancestry,constant_low,202,20,5,1,5,0.75,0.75,0.83333333,4,4,3,5489,1
amplitude_sweep,fresh_ground_truth,constant_medium,202,20,21,0,,1.0,1.0,1.0,0,0,0,5790,0
amplitude_sweep,persistent_history,constant_medium,202,20,5,1,5,0.72916667,0.58333333,0.5,16,4,3,5310,1
amplitude_sweep,prose_summary,constant_medium,202,20,2,1,2,0.47916667,0.41666667,0.66666667,10,4,2,5274,1
amplitude_sweep,receipt_ancestry,constant_medium,202,20,5,1,5,0.75,0.75,0.83333333,10,4,3,5656,1
amplitude_sweep,fresh_ground_truth,constant_high,202,20,1,1,1,1.0,1.0,1.0,1,0,0,5960,1
amplitude_sweep,persistent_history,constant_high,202,20,5,1,5,0.60416667,0.41666667,0.33333333,15,4,3,5550,1
amplitude_sweep,prose_summary,constant_high,202,20,2,1,2,0.52083333,0.5,0.83333333,17,4,2,5444,1
amplitude_sweep,receipt_ancestry,constant_high,202,20,5,1,5,0.66666667,0.75,0.83333333,13,4,3,5841,1
amplitude_sweep,fresh_ground_truth,constant_low,303,20,21,0,,1.0,1.0,1.0,0,0,0,5680,0
amplitude_sweep,persistent_history,constant_low,303,20,10,1,10,0.625,0.33333333,0.33333333,6,3,1,5135,1
amplitude_sweep,prose_summary,constant_low,303,20,3,1,3,0.54166667,0.33333333,0.66666667,10,4,2,5164,1
amplitude_sweep,receipt_ancestry,constant_low,303,20,5,1,5,0.75,0.5,1.0,3,3,3,5538,1
amplitude_sweep,fresh_ground_truth,constant_medium,303,20,21,0,,1.0,1.0,1.0,0,0,0,5840,0
amplitude_sweep,persistent_history,constant_medium,303,20,10,1,10,0.79166667,0.5,0.5,8,3,1,5400,1
amplitude_sweep,prose_summary,constant_medium,303,20,2,1,2,0.54166667,0.33333333,0.66666667,14,4,2,5324,1
amplitude_sweep,receipt_ancestry,constant_medium,303,20,5,1,5,0.6875,0.5,1.0,12,4,4,5713,1
amplitude_sweep,fresh_ground_truth,constant_high,303,20,21,0,,1.0,1.0,1.0,0,0,0,5990,0
amplitude_sweep,persistent_history,constant_high,303,20,10,1,10,0.79166667,0.66666667,0.66666667,7,3,1,5604,0
amplitude_sweep,prose_summary,constant_high,303,20,2,1,2,0.54166667,0.33333333,0.66666667,14,4,2,5474,0
amplitude_sweep,receipt_ancestry,constant_high,303,20,5,1,5,0.6875,0.5,1.0,13,4,4,5878,1
amplitude_sweep,fresh_ground_truth,constant_low,404,20,19,1,19,1.0,1.0,1.0,1,0,0,5660,1
amplitude_sweep,persistent_history,constant_low,404,20,15,1,15,0.85416667,0.58333333,0.33333333,0,2,2,5065,1
amplitude_sweep,prose_summary,constant_low,404,20,5,1,5,0.60416667,0.41666667,0.16666667,8,4,1,5144,1
amplitude_sweep,receipt_ancestry,constant_low,404,20,10,1,10,0.77083333,0.75,0.83333333,1,3,3,5523,1
amplitude_sweep,fresh_ground_truth,constant_medium,404,20,19,1,19,1.0,1.0,1.0,1,0,0,5830,1
amplitude_sweep,persistent_history,constant_medium,404,20,10,1,10,0.72916667,0.41666667,0.33333333,2,3,3,5370,1
amplitude_sweep,prose_summary,constant_medium,404,20,2,1,2,0.54166667,0.25,0.16666667,12,4,1,5314,1
amplitude_sweep,receipt_ancestry,constant_medium,404,20,10,1,10,0.8125,0.75,0.83333333,4,3,3,5710,1
amplitude_sweep,fresh_ground_truth,constant_high,404,20,19,1,19,1.0,1.0,1.0,1,0,0,5970,1
amplitude_sweep,persistent_history,constant_high,404,20,6,1,6,0.6875,0.58333333,0.5,15,3,2,5574,1
amplitude_sweep,prose_summary,constant_high,404,20,2,1,2,0.60416667,0.41666667,0.16666667,12,4,1,5454,0
amplitude_sweep,receipt_ancestry,constant_high,404,20,10,1,10,0.79166667,0.66666667,0.66666667,4,3,3,5865,1
amplitude_sweep,fresh_ground_truth,constant_low,505,20,21,0,,1.0,1.0,1.0,0,0,0,5660,0
amplitude_sweep,persistent_history,constant_low,505,20,10,1,10,0.64583333,0.25,0.16666667,5,3,2,5125,1
amplitude_sweep,prose_summary,constant_low,505,20,4,1,4,0.45833333,0.66666667,0.83333333,9,4,3,5144,1
amplitude_sweep,receipt_ancestry,constant_low,505,20,10,1,10,0.72916667,0.75,1.0,0,3,2,5518,1
amplitude_sweep,fresh_ground_truth,constant_medium,505,20,21,0,,1.0,1.0,1.0,0,0,0,5820,0
amplitude_sweep,persistent_history,constant_medium,505,20,10,1,10,0.58333333,0.25,0.16666667,10,3,2,5380,1
amplitude_sweep,prose_summary,constant_medium,505,20,4,1,4,0.4375,0.66666667,0.83333333,11,4,3,5304,1
amplitude_sweep,receipt_ancestry,constant_medium,505,20,10,1,10,0.77083333,0.75,1.0,9,3,2,5693,1
amplitude_sweep,fresh_ground_truth,constant_high,505,20,21,0,,1.0,1.0,1.0,0,0,0,5960,0
amplitude_sweep,persistent_history,constant_high,505,20,7,1,7,0.64583333,0.16666667,0.0,9,3,1,5584,1
amplitude_sweep,prose_summary,constant_high,505,20,4,1,4,0.4375,0.66666667,0.83333333,16,4,3,5444,0
amplitude_sweep,receipt_ancestry,constant_high,505,20,10,1,10,0.77083333,0.75,1.0,9,3,2,5848,1
amplitude_sweep,fresh_ground_truth,constant_low,606,20,21,0,,1.0,1.0,1.0,0,0,0,5650,0
amplitude_sweep,persistent_history,constant_low,606,20,2,1,2,0.64583333,0.16666667,0.0,19,4,1,5105,1
amplitude_sweep,prose_summary,constant_low,606,20,5,1,5,0.54166667,0.33333333,0.33333333,2,4,3,5134,1
amplitude_sweep,receipt_ancestry,constant_low,606,20,7,1,7,0.85416667,0.83333333,0.83333333,7,3,3,5508,1
