schedule,seed,event_index,event_id,event_time,gap,amplitude,target,conflict_degree,collision_burden,active_conflict_count,damage_before,damage_after,failure_probability,common_random_draw,failed,first_failure_this_event
clustered,6201,1,s6201-e00,1,1,low,token_capacity,1,0.0,0,0.0,0.02,0.0103,0.0799124212,0,0
clustered,6201,2,s6201-e01,2,1,medium,handoff_depth,2,0.8705505633,1,0.0183400809,0.1628061485,0.0920861373,0.9010847964,0,0
clustered,6201,3,s6201-e02,3,1,high,handoff_depth,2,2.4989594098,2,0.1492938964,0.5191690256,0.2477042882,0.6639112617,0,0
clustered,6201,4,s6201-e03,4,1,high,handoff_depth,2,4.7871222118,3,0.4760800956,1.120534761,0.4397777984,0.3637494281,1,1
clustered,6201,5,s6201-e04,5,1,high,retry_demand,1,0.0,0,1.0275349064,1.0975349064,0.0564630236,0.7479699091,0,0
clustered,6201,6,s6201-e05,6,1,medium,handoff_depth,2,5.9015350709,4,1.0064439467,1.7546281552,0.518442228,0.0296799709,1,0
clustered,6201,7,s6201-e06,7,1,low,latency_floor,1,2.2735748498,1,1.6090011126,1.9018300946,0.2204134394,0.1760192733,1,0
clustered,6201,8,s6201-e07,8,1,medium,memory_horizon,1,2.8046573312,3,1.7439858863,2.120544766,0.276180758,0.1875250698,1,0
clustered,6201,9,s6201-e08,9,1,high,latency_floor,1,2.4809058158,2,1.9445481242,2.3122568221,0.2731563176,0.8999013696,0,0
clustered,6201,10,s6201-e09,10,1,low,token_capacity,1,4.538240169,1,2.1203488548,2.6849376751,0.4133332786,0.2036853615,1,0
clustered,6201,11,s6201-e10,11,1,medium,latency_floor,1,4.1537498722,2,2.4620987038,3.0005486885,0.3973082201,0.5969042441,0,0
clustered,6201,12,s6201-e11,12,1,high,handoff_depth,2,4.7715503642,2,2.7515152791,3.3941013228,0.472635549,0.090252894,1,0
clustered,6201,13,s6201-e12,13,1,low,risk_tolerance,0,0.0,0,3.1124046361,3.1324046361,0.0569860695,0.8439038912,0,0
clustered,6201,14,s6201-e13,14,1,low,token_capacity,1,5.4544585356,2,2.8724277163,3.5469627405,0.499561124,0.1681032116,1,0
clustered,6201,15,s6201-e14,15,1,medium,token_capacity,1,5.6189325139,3,3.2525791742,3.9668510758,0.5290173673,0.6817330171,0,0
