schedule,seed,event_count,declared_horizon,last_event_time,failures,first_failure_event,n_f,mean_collision_burden,peak_collision_burden,damage_auc,peak_damage,final_event_damage,adjacent_conflict_count,conflicting_pair_count
clustered,6201,20,69,20,9,4,4,3.0789315816,6.006268816,50.5774557557,4.4293277584,4.4293277584,6,77
random_sparse_a,6201,20,69,69,3,6,6,0.9683957749,3.2388576985,9.8623387381,0.8143369005,0.796003844,6,77
random_sparse_b,6201,20,69,69,3,4,4,1.2106663402,4.8600345507,14.02839394,1.4406479883,0.4033026618,6,77
ulam_spaced,6201,20,69,69,3,4,4,1.2212226175,4.7871222118,13.9568640766,1.4279037456,0.3331990264,6,77
conflict_aware,6201,20,69,69,4,6,6,0.8603700094,1.8667840194,10.5108563597,0.7306098639,0.410306204,6,77
clustered,6202,20,69,20,9,10,10,3.5203698959,8.438603993,49.0076999828,5.7267433429,5.7267433429,7,75
random_sparse_a,6202,20,69,69,3,10,10,1.3015576424,4.5821069557,12.0000541008,1.3855404066,1.0220128846,7,75
random_sparse_b,6202,20,69,69,2,10,10,1.0996122704,3.0948467775,10.862893876,0.9611056047,0.6309420196,7,75
ulam_spaced,6202,20,69,69,3,10,10,1.0686419169,3.1656732779,10.8012659085,1.0052469191,0.3773608805,7,75
conflict_aware,6202,20,69,69,2,10,10,0.9893772622,2.278496066,10.1241629599,0.9364312962,0.5354872976,7,75
clustered,6203,20,69,20,6,6,6,2.5592874051,6.4034915625,39.6881470187,4.05487202,4.05487202,6,60
random_sparse_a,6203,20,69,69,4,6,6,0.920161999,3.7219084238,9.8566639472,1.090709526,0.6923107588,6,60
random_sparse_b,6203,20,69,69,4,6,6,0.802622049,2.5476555786,9.4188277071,0.8311782526,0.4687803612,6,60
ulam_spaced,6203,20,69,69,4,6,6,0.833883161,2.5982560836,9.5016287476,0.8882893348,0.2611567628,6,60
conflict_aware,6203,20,69,69,3,6,6,0.6385545053,1.4176122386,7.670708184,0.5776238614,0.394754146,6,60
clustered,6204,20,69,20,4,7,7,3.0534550878,7.6173160264,40.8438424244,5.2436174793,5.2436174793,8,72
random_sparse_a,6204,20,69,69,0,,21,1.2750355115,4.3674826288,11.2885242039,1.8478096999,1.8478096999,8,72
random_sparse_b,6204,20,69,69,0,,21,1.2089570207,4.3217917798,9.913357504,1.7780338244,1.7780338244,8,72
ulam_spaced,6204,20,69,69,2,7,7,1.065551849,3.7292618662,10.4934635787,0.9984807699,0.5550778405,8,72
conflict_aware,6204,20,69,69,0,,21,0.8269793113,1.7871745887,9.2929513505,0.8098108261,0.339512775,8,72
clustered,6205,20,69,20,3,11,11,2.7117652868,7.6089939605,41.311383036,4.3070245501,4.3070245501,10,66
random_sparse_a,6205,20,69,69,2,11,11,0.9807320414,4.3883805791,11.0532801752,1.3682688155,0.5887324714,10,66
random_sparse_b,6205,20,69,69,2,11,11,0.9975145264,3.8013865988,10.6222062117,1.4257880249,0.5076628195,10,66
ulam_spaced,6205,20,69,69,2,11,11,0.8867932281,2.6359430204,9.1744015196,0.9842472115,0.3662303075,10,66
conflict_aware,6205,20,69,69,1,11,11,0.7254586099,1.625,7.6748715501,0.6256830256,0.5175640742,10,66
clustered,6206,20,69,20,6,9,9,2.0397256681,5.6284565759,29.2938103168,3.6358332472,3.6358332472,3,57
random_sparse_a,6206,20,69,69,4,9,9,0.506800785,1.8993872974,6.0844457528,0.6015161967,0.6015161967,3,57
random_sparse_b,6206,20,69,69,3,14,14,0.5290989607,1.5852182022,6.322545181,0.6483538504,0.6483538504,3,57
ulam_spaced,6206,20,69,69,2,9,9,0.5714850784,1.6597539554,7.1001543605,0.574209474,0.3742634872,3,57
conflict_aware,6206,20,69,69,2,9,9,0.5839328819,1.453862576,7.7817139781,0.7989142578,0.2826374916,3,57
clustered,6207,20,69,20,9,4,4,2.5418867957,7.1712622107,40.1709998169,3.9656289102,3.9656289102,6,67
random_sparse_a,6207,20,69,69,4,4,4,0.8711741952,3.5084236102,10.6183241635,1.1963476066,0.4215918666,6,67
random_sparse_b,6207,20,69,69,4,4,4,0.9724075967,4.8516352128,11.3677099936,1.4556304021,0.4883739265,6,67
ulam_spaced,6207,20,69,69,4,4,4,0.8621077215,2.853704767,9.5553629104,1.1657444374,0.3168361705,6,67
conflict_aware,6207,20,69,69,3,4,4,0.6619615768,1.4300907482,7.3948403332,0.5685034558,0.4575677012,6,67
