run_family,mode,schedule,seed,cycle,event_id,amplitude,target,truth_delta,applied_delta,application_outcome,difficulty,correction_required,correction_success,checkpoint,checkpoint_failed,unsafe_attempt,first_failure_this_cycle,failed_by_cycle,failed_before_cycle,config_accuracy,requirement_accuracy,invariant_failure_count,invariant_failures,known_dependency_count,unresolved_dependency_count,unresolved_dependencies,contradiction_count,retry_count,repair_succeeded,repaired_invariant_count,repaired_field_count,representation_tokens,total_tokens,context_pressure,handoff_loss,kappa,kappa_star_0,phi_star,phi_base,epsilon,delta_hol,vkd,damage_D,kappa_star_eff,vkd_f,subcritical_failure
primary,fresh_ground_truth,low_to_high,101,1,s101-e00,low,retry_demand,-1,-1,correct,0.0135255,1,0,0,0,0,0,0,0,1.0,1.0,0,,22,0,,0,0,0,0,0,256,291,0.0,0.0,0.26,0.75,1.0,0.99811343,0.0,0.0,0.3,0.2035344724,0.5973491457,0.3,0
primary,fresh_ground_truth,low_to_high,101,2,s101-e02,low,retry_demand,1,1,correct,0.0161055,0,0,0,0,0,0,0,0,1.0,1.0,0,,22,0,,0,0,0,0,0,256,572,0.0,0.0,0.26,0.75,1.0,0.99811343,0.0,0.0,0.3,0.2784106203,0.5411920348,0.2811920348,0
primary,fresh_ground_truth,low_to_high,101,3,s101-e07,low,latency_floor,35,35,correct,0.0074055,0,0,0,0,0,0,0,0,1.0,1.0,0,,22,0,,0,0,0,0,0,256,853,0.0,0.0,0.26,0.75,1.0,0.99811343,0.0,0.0,0.3,0.3059560158,0.5205329882,0.2605329882,0
primary,fresh_ground_truth,low_to_high,101,4,s101-e08,low,token_capacity,-1,-1,correct,0.007944,0,0,0,0,0,0,0,0,1.0,1.0,0,,22,0,,0,0,0,0,0,256,1134,0.0,0.0,0.26,0.75,1.0,0.99811343,0.0,0.0,0.3,0.3160894005,0.5129329496,0.2529329496,0
primary,fresh_ground_truth,low_to_high,101,5,s101-e11,low,risk_tolerance,1,1,correct,0.0119685,0,0,1,0,0,0,0,0,1.0,1.0,0,,22,0,,0,0,0,0,0,256,1415,0.0,0.0,0.26,0.75,1.0,0.99811343,0.0,0.0,0.3,0.3198172644,0.5101370517,0.2501370517,0
primary,fresh_ground_truth,low_to_high,101,6,s101-e14,low,risk_tolerance,1,1,correct,0.0142995,0,0,0,0,0,0,0,0,1.0,1.0,0,,22,0,,0,0,0,0,0,256,1696,0.0,0.0,0.26,0.75,1.0,0.99811343,0.0,0.0,0.3,0.3211886689,0.5091084983,0.2491084983,0
primary,fresh_ground_truth,low_to_high,101,7,s101-e17,low,token_capacity,1,1,correct,0.0225975,0,0,0,0,0,0,0,0,1.0,1.0,0,,22,0,,0,0,0,0,0,256,1977,0.0,0.0,0.26,0.75,1.0,0.99811343,0.0,0.0,0.3,0.3216931804,0.5087301147,0.2487301147,0
primary,fresh_ground_truth,low_to_high,101,8,s101-e04,medium,handoff_depth,-2,-2,correct,0.0261135,0,0,0,0,0,0,0,0,1.0,1.0,0,,22,0,,0,0,0,0,0,256,2265,0.0,0.0,0.36,0.75,1.0,0.99811343,0.0,0.0,0.3,0.4499574276,0.4125319293,0.0525319293,0
primary,fresh_ground_truth,low_to_high,101,9,s101-e05,medium,memory_horizon,2,2,correct,0.0222225,0,0,0,0,0,0,0,0,1.0,1.0,0,,22,0,,0,0,0,0,0,256,2553,0.0,0.0,0.36,0.75,1.0,0.99811343,0.0,0.0,0.3,0.4971432071,0.3771425947,0.0171425947,0
primary,fresh_ground_truth,low_to_high,101,10,s101-e06,medium,retry_demand,-2,-2,correct,0.0298665,0,0,1,0,0,0,0,0,1.0,1.0,0,,22,0,,0,0,0,0,0,256,2841,0.0,0.0,0.36,0.75,1.0,0.99811343,0.0,0.0,0.3,0.5145018854,0.364123586,0.004123586,0
