run_family,mode,schedule,seed,crack_initiation_cycle,origin_event_id,origin_target,origin_amplitude,peak_cycle,max_crack_load,crack_burden,longest_active_span,repair_half_life_cycles,first_failure_cycle,cycles_from_crack_to_failure,dominant_nodes
primary,fresh_ground_truth,alternating,101,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,202,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,303,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,404,9,s404-e04,handoff_depth,high,9,3,3,1,1,9,0,dependency:handoff_depth|signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,alternating,505,13,s505-e07,handoff_depth,high,13,2,2,1,1,,,dependency:handoff_depth|signal:new_contradiction
primary,fresh_ground_truth,alternating,606,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,707,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,808,1,s808-e04,token_capacity,high,1,3,6,1,1,1,0,signal:new_contradiction|signal:unsafe_attempt|dependency:token_capacity|dependency:memory_horizon
primary,fresh_ground_truth,alternating,909,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,1010,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,1111,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,1212,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,1313,9,s1313-e11,handoff_depth,high,9,3,3,1,1,9,0,dependency:handoff_depth|signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,alternating,1414,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,1515,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,1616,1,s1616-e00,handoff_depth,high,1,3,3,1,1,1,0,dependency:handoff_depth|signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,alternating,1717,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,1818,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,1919,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,2020,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,2121,7,s2121-e05,risk_tolerance,medium,7,2,2,1,1,,,dependency:risk_tolerance|signal:new_contradiction
primary,fresh_ground_truth,alternating,2222,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,2323,5,s2323-e02,latency_floor,high,5,2,2,1,1,5,0,signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,alternating,2424,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,2525,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,alternating,2626,11,s2626-e12,risk_tolerance,medium,11,2,6,1,1,16,5,invariant:evidence_fits_token_budget|signal:unsafe_attempt|dependency:risk_tolerance|signal:new_contradiction
primary,fresh_ground_truth,high_to_low,101,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,202,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,303,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,404,3,s404-e04,handoff_depth,high,3,3,3,1,1,3,0,dependency:handoff_depth|signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,high_to_low,505,4,s505-e07,handoff_depth,high,4,2,2,1,1,,,dependency:handoff_depth|signal:new_contradiction
primary,fresh_ground_truth,high_to_low,606,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,707,14,s707-e00,handoff_depth,low,14,2,2,1,1,,,dependency:handoff_depth|signal:new_contradiction
primary,fresh_ground_truth,high_to_low,808,1,s808-e04,token_capacity,high,1,3,5,1,1,1,0,signal:new_contradiction|signal:unsafe_attempt|dependency:token_capacity
primary,fresh_ground_truth,high_to_low,909,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,1010,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,1111,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,1212,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,1313,3,s1313-e11,handoff_depth,high,3,3,3,1,1,3,0,dependency:handoff_depth|signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,high_to_low,1414,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,1515,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,1616,1,s1616-e00,handoff_depth,high,1,3,3,1,1,1,0,dependency:handoff_depth|signal:new_contradiction|signal:unsafe_attempt
primary,fresh_ground_truth,high_to_low,1717,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,1818,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,1919,,,,,1,0,0,0,,,,
primary,fresh_ground_truth,high_to_low,2020,,,,,1,0,0,0,,,,
