world,mode,seed,declared_horizon,n_f,failed,first_failure_cycle,survival_40,survival_80,survival_160,mean_active_context_tokens_40,mean_active_context_tokens_80,mean_active_context_tokens_160,peak_active_context_tokens,mean_checkpoint_accuracy_40,mean_checkpoint_accuracy_80,mean_checkpoint_accuracy_160,critical_omissions_40,critical_omissions_80,critical_omissions_160,critical_omission_rate_40,critical_omission_rate_80,critical_omission_rate_160,external_retrievals,successful_retrievals,quarantines,total_active_token_work,final_config_accuracy,final_requirement_accuracy
main,continuous_full_history,7301,160,20,1,20,0,0,0,1374.325,2414.6375,4486.48125,8595,0.69791667,0.50520833,0.4140625,36,76,156,0.9,0.95,0.975,0,0,0,717837,0.25,0.1666666667
main,ordinary_summary_reset,7301,160,60,1,60,1,0,0,730.325,718.1375,712.48125,1203,0.94791667,0.88541667,0.9375,16,36,41,0.4,0.45,0.25625,0,0,0,113997,1.0,1.0
main,verified_inheritance_capsule,7301,160,80,1,80,1,0,0,610.625,642.9375,662.26875,1183,0.94791667,0.96354167,0.921875,17,17,57,0.425,0.2125,0.35625,34,20,13,105963,1.0,1.0
main,capsule_conflict_aware,7301,160,80,1,80,1,0,0,592.075,625.6375,652.33125,1177,0.9375,0.95833333,0.90625,15,16,56,0.375,0.2,0.35,36,21,17,104373,1.0,1.0
pressure_disabled_null,continuous_full_history,7301,160,161,0,,1,1,1,1374.325,2414.6375,4486.48125,8595,1.0,0.953125,0.95833333,0,13,35,0.0,0.1625,0.21875,0,0,0,717837,1.0,1.0
pressure_disabled_null,verified_inheritance_capsule,7301,160,80,1,80,1,0,0,606.575,657.3125,662.16875,1159,0.95833333,0.78645833,0.82291667,20,53,106,0.5,0.6625,0.6625,39,24,15,105947,1.0,1.0
main,continuous_full_history,7302,160,20,1,20,0,0,0,1349.4,2387.6625,4492.2875,8675,0.55208333,0.35416667,0.22395833,35,75,155,0.875,0.9375,0.96875,0,0,0,718766,0.0833333333,0.0
main,ordinary_summary_reset,7302,160,40,1,40,0,0,0,720.4,713.6625,712.0375,1176,0.77083333,0.625,0.70572917,32,72,126,0.8,0.9,0.7875,0,0,0,113926,0.8333333333,0.8333333333
main,verified_inheritance_capsule,7302,160,161,0,,1,1,1,599.45,629.6125,655.6625,1137,0.72916667,0.81770833,0.90364583,35,53,66,0.875,0.6625,0.4125,26,24,0,104906,1.0,1.0
main,capsule_conflict_aware,7302,160,161,0,,1,1,1,593.825,633.725,654.4625,1159,0.79166667,0.88541667,0.93229167,35,53,68,0.875,0.6625,0.425,24,22,0,104714,1.0,1.0
pressure_disabled_null,continuous_full_history,7302,160,161,0,,1,1,1,1349.4,2387.6625,4492.2875,8675,0.9375,0.88541667,0.90885417,10,26,51,0.25,0.325,0.31875,0,0,0,718766,1.0,1.0
pressure_disabled_null,verified_inheritance_capsule,7302,160,161,0,,1,1,1,593.95,638.5125,661.8,1179,0.9375,0.88541667,0.90885417,11,27,53,0.275,0.3375,0.33125,24,22,0,105888,1.0,1.0
main,continuous_full_history,7303,160,40,1,40,0,0,0,1363.8,2417.9375,4531.6625,8722,0.91666667,0.63541667,0.390625,13,53,133,0.325,0.6625,0.83125,0,0,0,725066,0.25,0.0
main,ordinary_summary_reset,7303,160,20,1,20,0,0,0,719.8,716.4375,711.4125,1193,0.79166667,0.828125,0.9140625,20,40,40,0.5,0.5,0.25,0,0,0,113826,1.0,1.0
main,verified_inheritance_capsule,7303,160,161,0,,1,1,1,588.0,637.0375,653.4375,1141,1.0,0.9375,0.96875,0,19,21,0.0,0.2375,0.13125,25,23,0,104550,1.0,1.0
main,capsule_conflict_aware,7303,160,161,0,,1,1,1,583.025,630.675,651.61875,1167,1.0,0.98958333,0.99479167,0,8,10,0.0,0.1,0.0625,23,21,0,104259,1.0,1.0
pressure_disabled_null,continuous_full_history,7303,160,161,0,,1,1,1,1363.8,2417.9375,4531.6625,8722,1.0,1.0,0.99479167,0,11,18,0.0,0.1375,0.1125,0,0,0,725066,1.0,1.0
pressure_disabled_null,verified_inheritance_capsule,7303,160,161,0,,1,1,1,588.0,635.8625,660.725,1153,1.0,1.0,0.96354167,0,11,39,0.0,0.1375,0.24375,24,22,0,105716,1.0,1.0
main,continuous_full_history,7304,160,60,1,60,1,0,0,1365.925,2415.8875,4522.1,8702,1.0,0.79166667,0.52604167,0,29,109,0.0,0.3625,0.68125,0,0,0,723536,0.25,0.0
