world,mode,schedule,seed,horizon_ticks,n_f_ticks,failed,first_failure_tick,disturbances_at_failure,final_disturbances_seen,mean_checkpoint_accuracy,minimum_checkpoint_accuracy,critical_omission_events,mean_critical_omissions,peak_critical_omissions,mean_active_context_tokens,peak_active_context_tokens,peak_instantaneous_rate,peak_rolling_rate_burden,synthetic_damage_auc,total_token_work,final_config_accuracy,final_requirement_accuracy
rate_sensitive,continuous_history,slow_drip,8201,160,36,1,36,5,20,0.8854166667,0.5833333333,8,0.625,2,581.2,1070,0.1666666667,3.4357092137,59.5870315826,3480,1.0,1.0
rate_sensitive,continuous_history,steady_load,8201,160,32,1,32,5,20,0.9010416667,0.6666666667,8,0.5625,2,580.15,1070,0.1666666667,3.8207150638,68.4693428795,3480,1.0,1.0
rate_sensitive,continuous_history,sudden_burst,8201,160,22,1,22,5,20,0.8802083333,0.75,9,0.625,2,577.525,1070,0.8333333333,10.7465989807,623.2757563401,3480,1.0,1.0
rate_sensitive,continuous_history,burst_recovery,8201,160,35,1,35,5,20,0.8645833333,0.5833333333,8,0.75,2,596.29375,1070,0.3333333333,5.7735026789,150.8584091021,3480,1.0,1.0
rate_sensitive,ordinary_summary,slow_drip,8201,160,28,1,28,4,20,0.9270833333,0.6666666667,6,0.4375,2,362.7625,541,0.1666666667,3.4357092137,52.5870315826,3480,1.0,1.0
rate_sensitive,ordinary_summary,steady_load,8201,160,26,1,26,4,20,0.9270833333,0.6666666667,6,0.4375,2,361.7125,541,0.1666666667,3.8207150638,62.7193428795,3480,1.0,1.0
rate_sensitive,ordinary_summary,sudden_burst,8201,160,20,1,20,3,20,0.8489583333,0.5,11,0.875,3,359.0875,541,0.8333333333,10.7465989807,626.7757563401,3480,1.0,1.0
rate_sensitive,ordinary_summary,burst_recovery,8201,160,21,1,21,4,20,0.9270833333,0.6666666667,6,0.4375,2,377.85625,541,0.3333333333,5.7735026789,139.6084091021,3480,1.0,1.0
rate_sensitive,verified_capsule,slow_drip,8201,160,108,1,108,14,20,0.9427083333,0.75,5,0.3125,1,377.8875,561,0.1666666667,3.4357092137,47.3370315826,3480,1.0,1.0
rate_sensitive,verified_capsule,steady_load,8201,160,106,1,106,14,20,0.953125,0.75,4,0.25,1,376.8375,561,0.1666666667,3.8207150638,56.2193428795,3480,1.0,1.0
rate_sensitive,verified_capsule,sudden_burst,8201,160,101,1,101,14,20,0.9427083333,0.75,6,0.375,1,374.2125,561,0.8333333333,10.7465989807,609.0257563401,3480,1.0,1.0
rate_sensitive,verified_capsule,burst_recovery,8201,160,101,1,101,14,20,0.9427083333,0.75,5,0.3125,1,392.98125,561,0.3333333333,5.7735026789,133.6084091021,3480,1.0,1.0
rate_disabled_null,continuous_history,slow_drip,8201,160,161,0,,,20,0.9479166667,0.8333333333,5,0.3125,1,581.2,1070,0.1666666667,3.4357092137,45.8370315826,3480,0.8333333333,0.8333333333
rate_disabled_null,continuous_history,steady_load,8201,160,161,0,,,20,0.9479166667,0.8333333333,5,0.3125,1,580.15,1070,0.1666666667,3.8207150638,57.7193428795,3480,0.8333333333,0.8333333333
