world,mode,seed,declared_horizon,intervention_cycle,n_f,failed,first_failure_cycle,first_failure_signature,same_failure_returned,same_failure_return_cycle,cycles_until_same_failure_returns,correct_decisions_post_handoff,decision_opportunities_post_handoff,post_handoff_decision_accuracy,policy_violations,final_config_accuracy,final_requirement_accuracy,retained_retry_demand,retained_latency_floor,retained_risk_tolerance,retained_memory_horizon,retained_handoff_depth,retained_token_capacity,packet_bytes,packet_tokens,evidence_reads,accepted_handoffs,rejected_handoffs,undecidable_handoffs
stateful_task,continuous_control,9201,320,80,112,1,112,required_state_loss,1,128,16,26,241,0.1078838174,0,0.4166666667,0.0,0,0,0,0,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9201,320,80,80,1,80,configuration_error|required_state_loss,1,208,128,0,241,0.0,11,0.5,0.1666666667,0,0,0,0,0,1,45,17,0,1,0,0
stateful_task,full_history_handoff,9201,320,80,112,1,112,required_state_loss,1,128,16,26,241,0.1078838174,0,0.4166666667,0.0,0,0,0,0,0,0,19868,4356,0,1,0,0
stateful_task,unsigned_minimal_handoff,9201,320,80,160,1,160,required_state_loss,1,176,16,68,241,0.2821576763,0,0.5,0.1666666667,0,0,0,0,0,1,2201,601,0,1,0,0
stateful_task,olp_handoff,9201,320,80,160,1,160,required_state_loss,1,176,16,68,241,0.2821576763,0,0.5,0.1666666667,0,0,0,0,0,1,8484,1839,5,1,0,0
stateful_task,continuous_control,9202,320,80,96,1,96,required_state_loss,1,112,16,10,241,0.0414937759,0,0.4166666667,0.0,0,0,0,0,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9202,320,80,80,1,80,configuration_error|required_state_loss,1,208,128,0,241,0.0,11,0.4166666667,0.0,0,0,0,0,0,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9202,320,80,96,1,96,required_state_loss,1,112,16,10,241,0.0414937759,0,0.4166666667,0.0,0,0,0,0,0,0,19874,4358,0,1,0,0
stateful_task,unsigned_minimal_handoff,9202,320,80,192,1,192,required_state_loss,0,0,0,106,241,0.4398340249,0,0.4166666667,0.0,0,0,0,0,0,0,2199,599,0,1,0,0
stateful_task,olp_handoff,9202,320,80,192,1,192,required_state_loss,0,0,0,106,241,0.4398340249,0,0.4166666667,0.0,0,0,0,0,0,0,8482,1889,5,1,0,0
stateful_task,continuous_control,9203,320,80,128,1,128,required_state_loss,1,144,16,37,241,0.153526971,0,0.6666666667,0.0,0,0,0,0,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9203,320,80,80,1,80,configuration_error|required_state_loss,1,224,144,0,241,0.0,11,0.6666666667,0.0,0,0,0,0,0,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9203,320,80,128,1,128,required_state_loss,1,144,16,37,241,0.153526971,0,0.6666666667,0.0,0,0,0,0,0,0,19879,4361,0,1,0,0
stateful_task,unsigned_minimal_handoff,9203,320,80,192,1,192,required_state_loss,1,208,16,98,241,0.4066390041,0,0.6666666667,0.0,0,0,0,0,0,0,2203,603,0,1,0,0
stateful_task,olp_handoff,9203,320,80,192,1,192,required_state_loss,1,208,16,98,241,0.4066390041,0,0.6666666667,0.0,0,0,0,0,0,0,8486,1879,5,1,0,0
stateful_task,continuous_control,9204,320,80,112,1,112,required_state_loss,0,0,0,29,241,0.1203319502,0,0.3333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9204,320,80,80,1,80,configuration_error|required_state_loss,1,224,144,0,241,0.0,11,0.3333333333,0.1666666667,0,1,0,0,0,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9204,320,80,112,1,112,required_state_loss,0,0,0,29,241,0.1203319502,0,0.3333333333,0.0,0,0,0,0,0,0,19866,4353,0,1,0,0
stateful_task,unsigned_minimal_handoff,9204,320,80,176,1,176,configuration_error|required_state_loss,1,192,16,92,241,0.3817427386,0,0.4166666667,0.1666666667,0,1,0,0,0,0,2195,597,0,1,0,0
stateful_task,olp_handoff,9204,320,80,176,1,176,configuration_error|required_state_loss,1,192,16,92,241,0.3817427386,0,0.4166666667,0.1666666667,0,1,0,0,0,0,8478,1815,5,1,0,0
stateful_task,continuous_control,9205,320,80,112,1,112,required_state_loss,1,128,16,28,241,0.1161825726,0,0.75,0.0,0,0,0,0,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9205,320,80,80,1,80,configuration_error|required_state_loss,0,0,0,0,241,0.0,11,0.75,0.1666666667,1,0,0,0,0,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9205,320,80,112,1,112,required_state_loss,1,128,16,28,241,0.1161825726,0,0.75,0.0,0,0,0,0,0,0,19874,4364,0,1,0,0
stateful_task,unsigned_minimal_handoff,9205,320,80,176,1,176,required_state_loss,1,192,16,95,241,0.3941908714,0,0.75,0.1666666667,1,0,0,0,0,0,2201,603,0,1,0,0
stateful_task,olp_handoff,9205,320,80,176,1,176,required_state_loss,1,192,16,95,241,0.3941908714,0,0.75,0.1666666667,1,0,0,0,0,0,8484,1819,5,1,0,0
stateful_task,continuous_control,9206,320,80,96,1,96,required_state_loss,1,112,16,13,241,0.0539419087,0,0.5833333333,0.1666666667,0,0,0,1,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9206,320,80,80,1,80,configuration_error|required_state_loss,1,240,160,0,241,0.0,11,0.5,0.0,0,0,0,0,0,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9206,320,80,96,1,96,required_state_loss,1,112,16,13,241,0.0539419087,0,0.5833333333,0.1666666667,0,0,0,1,0,0,19865,4344,0,1,0,0
stateful_task,unsigned_minimal_handoff,9206,320,80,160,1,160,required_state_loss,1,176,16,76,241,0.3153526971,0,0.4166666667,0.0,0,0,0,0,0,0,2199,597,0,1,0,0
stateful_task,olp_handoff,9206,320,80,160,1,160,required_state_loss,1,176,16,76,241,0.3153526971,0,0.4166666667,0.0,0,0,0,0,0,0,8482,1833,5,1,0,0
stateful_task,continuous_control,9207,320,80,128,1,128,configuration_error|required_state_loss,1,144,16,37,241,0.153526971,0,0.3333333333,0.1666666667,0,0,1,0,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9207,320,80,80,1,80,configuration_error|required_state_loss,1,224,144,0,241,0.0,11,0.75,0.3333333333,1,1,0,0,0,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9207,320,80,128,1,128,configuration_error|required_state_loss,1,144,16,37,241,0.153526971,0,0.3333333333,0.1666666667,0,0,1,0,0,0,19875,4362,0,1,0,0
stateful_task,unsigned_minimal_handoff,9207,320,80,176,1,176,configuration_error|required_state_loss,1,192,16,89,241,0.3692946058,0,0.5,0.1666666667,0,1,0,0,0,0,2203,601,0,1,0,0
