world,mode,seed,declared_horizon,n_f,failed,first_failure_cycle,survival_160,survival_320,mean_active_context_tokens_160,mean_active_context_tokens_320,mean_checkpoint_accuracy_160,mean_checkpoint_accuracy_320,critical_omission_rate_160,critical_omission_rate_320,mean_epsilon_160,mean_epsilon_320,minimum_margin_160,minimum_margin_320,restorations,pruned_tokens,ecc_corrections,external_retrievals,quarantines,final_config_accuracy,final_requirement_accuracy
main,capsule_baseline,8101,320,321,0,,1,1,733.91875,741.171875,0.9401041666666666,0.93359375,0.90625,0.9375,0.597540845900975,0.6524613151630715,-0.0026884128611883717,-0.2119915137333226,0,0,0,30,0,1.0,1.0
main,scheduled_prune_80,8101,320,321,0,,1,1,726.04375,729.734375,0.9401041666666666,0.93359375,0.90625,0.9375,0.5801129054014422,0.6227383108472908,0.03703744349206972,-0.21133522135845784,0,240,0,30,0,1.0,1.0
main,fixed_retirement_85,8101,320,321,0,,1,1,702.98125,693.984375,0.9557291666666666,0.9440104166666666,0.8125,0.859375,0.5404719097876691,0.5797909562492947,0.05533656484673877,-0.20827126586231492,3,0,0,48,1,1.0,1.0
main,telemetry_breaker,8101,320,321,0,,1,1,678.475,647.728125,0.9557291666666666,0.9518229166666666,0.78125,0.828125,0.46002456169387174,0.47575216138254817,0.1277590009252425,-0.14810746683498044,8,0,0,76,0,1.0,1.0
main,ecc_digest,8101,320,321,0,,1,1,733.91875,741.171875,0.9505208333333334,0.95703125,0.8125,0.84375,0.5747030104025458,0.6104030915132933,0.06812754067381599,-0.1926971152707322,0,0,7,30,0,1.0,1.0
main,restoration_stack,8101,320,321,0,,1,1,660.09375,643.284375,0.9609375,0.9700520833333334,0.75,0.703125,0.44539235779346387,0.43759714315918624,0.2385897084468902,0.18584800381482247,7,240,6,70,0,1.0,1.0
main,sham_retirement_85,8101,320,321,0,,1,1,702.98125,693.984375,0.9401041666666666,0.93359375,0.90625,0.9375,0.597540845900975,0.6524613151630715,0.04046543329265784,-0.2119915137333226,3,0,0,30,0,1.0,1.0
pressure_disabled_null,capsule_baseline,8101,320,321,0,,1,1,733.91875,741.171875,0.9401041666666666,0.94140625,0.90625,0.890625,0.10491901201360002,0.1132730105702378,0.5053788509482541,0.3649096698078189,0,0,0,30,0,1.0,1.0
pressure_disabled_null,restoration_stack,8101,320,321,0,,1,1,726.04375,729.734375,0.9505208333333334,0.9596354166666666,0.8125,0.796875,0.09808938543872403,0.10227159225696676,0.5365851031196456,0.36912459186671764,0,240,6,30,0,1.0,1.0
main,capsule_baseline,8102,320,321,0,,1,1,738.9125,747.35,0.9401041666666666,0.9427083333333334,0.78125,0.796875,0.5485243911156085,0.6152942511047257,0.13887807235563399,-0.36122869964751825,0,0,0,30,0,1.0,1.0
main,scheduled_prune_80,8102,320,321,0,,1,1,731.0375,735.9125,0.9401041666666666,0.9427083333333334,0.78125,0.796875,0.5332082786792818,0.5940895154371766,0.13887807235563399,-0.3608200408630702,0,240,0,30,0,1.0,1.0
main,fixed_retirement_85,8102,320,321,0,,1,1,707.975,700.271875,0.9401041666666666,0.9453125,0.6875,0.71875,0.49528813493785506,0.537510738075246,0.13887807235563399,-0.356728116927417,3,0,0,46,0,1.0,1.0
main,telemetry_breaker,8102,320,321,0,,1,1,662.225,659.853125,0.9505208333333334,0.9505208333333334,0.65625,0.671875,0.4435854889822194,0.47331592579826803,0.13887807235563399,-0.13935721777796028,6,0,0,64,1,1.0,1.0
main,ecc_digest,8102,320,321,0,,1,1,738.9125,747.35,0.984375,0.9765625,0.5625,0.640625,0.5009262321185213,0.5608171269542658,0.13887807235563399,-0.09661201021127419,0,0,9,30,0,1.0,1.0
main,restoration_stack,8102,320,321,0,,1,1,654.7375,665.128125,0.9947916666666666,0.984375,0.4375,0.5625,0.40036838448710127,0.42486711118656295,0.13887807235563399,-0.004527426292979753,5,240,5,59,1,1.0,1.0
main,sham_retirement_85,8102,320,321,0,,1,1,707.975,700.271875,0.9401041666666666,0.9427083333333334,0.78125,0.796875,0.5485243911156085,0.6152942511047257,0.13887807235563399,-0.36122869964751825,3,0,0,30,0,1.0,1.0
pressure_disabled_null,capsule_baseline,8102,320,321,0,,1,1,738.9125,747.35,0.9661458333333334,0.9635416666666666,0.5625,0.671875,0.08941942760052358,0.10183133558480587,0.551374206870168,0.2216692264876945,0,0,0,30,0,1.0,1.0
pressure_disabled_null,restoration_stack,8102,320,321,0,,1,1,731.0375,735.9125,1.0,0.9895833333333334,0.5,0.59375,0.08278952640849609,0.09190202194406755,0.551374206870168,0.4239027978246297,0,240,5,30,0,1.0,1.0
main,capsule_baseline,8103,320,321,0,,1,1,731.04375,742.86875,0.9583333333333334,0.9557291666666666,0.84375,0.828125,0.5582368584393068,0.6259047456449952,-0.11142442956742737,-0.3774193538204518,0,0,0,27,1,1.0,1.0
main,scheduled_prune_80,8103,320,321,0,,1,1,723.16875,731.43125,0.9583333333333334,0.9557291666666666,0.84375,0.828125,0.5394149042617407,0.601538597113099,-0.11142442956742737,-0.3695661521448783,0,240,0,27,1,1.0,1.0
main,fixed_retirement_85,8103,320,321,0,,1,1,699.45,695.55625,0.9583333333333334,0.9661458333333334,0.75,0.75,0.5146143287030844,0.540947444492702,-0.11142442956742737,-0.2768320978189662,3,0,0,45,2,1.0,1.0
main,telemetry_breaker,8103,320,321,0,,1,1,660.325,656.575,0.984375,0.9739583333333334,0.625,0.671875,0.40068878707824895,0.43777139395921844,-0.11142442956742737,-0.2926181289806018,7,0,0,66,3,1.0,1.0
main,ecc_digest,8103,320,321,0,,1,1,731.04375,742.86875,0.96875,0.9765625,0.84375,0.71875,0.5407228214522781,0.5809051688888875,-0.11142442956742737,-0.11142442956742737,0,0,6,27,1,1.0,1.0
main,restoration_stack,8103,320,321,0,,1,1,652.45,662.921875,0.984375,0.984375,0.625,0.578125,0.39339080062489906,0.4225618340174465,-0.11142442956742737,-0.11142442956742737,6,240,5,58,2,1.0,1.0
main,sham_retirement_85,8103,320,321,0,,1,1,699.45,695.55625,0.9583333333333334,0.9557291666666666,0.84375,0.828125,0.5582368584393068,0.6259047456449952,-0.11142442956742737,-0.3774193538204518,3,0,0,27,1,1.0,1.0
pressure_disabled_null,capsule_baseline,8103,320,321,0,,1,1,731.04375,742.86875,0.9661458333333334,0.9752604166666666,0.84375,0.703125,0.09702924268003126,0.10120961048991495,0.3531877565240169,0.22609812938554597,0,0,0,27,1,1.0,1.0
pressure_disabled_null,restoration_stack,8103,320,321,0,,1,1,723.16875,731.43125,0.9765625,0.9856770833333334,0.84375,0.6875,0.09221663978449968,0.09351813799474565,0.3531877565240169,0.3531877565240169,0,240,3,27,1,1.0,1.0
main,capsule_baseline,8104,320,275,1,275,1,0,731.725,733.7625,0.9401041666666666,0.9205729166666666,0.6875,0.796875,0.5770691496994718,0.6685343801215191,-0.039131137462459,-0.39719352748865155,0,0,0,29,1,1.0,1.0
main,scheduled_prune_80,8104,320,275,1,275,1,0,723.85,722.325,0.9401041666666666,0.9283854166666666,0.6875,0.796875,0.5615305881278128,0.636371453815125,-0.02854322985019686,-0.38707030364142647,0,240,0,29,1,1.0,1.0
main,fixed_retirement_85,8104,320,275,1,275,1,0,700.13125,688.0125,0.9401041666666666,0.9296875,0.65625,0.75,0.5393389443246062,0.60182307224691,-0.024102677972289044,-0.3100444570683121,3,0,0,46,1,1.0,1.0
main,telemetry_breaker,8104,320,275,1,275,1,0,643.09375,630.671875,0.9661458333333334,0.953125,0.65625,0.6875,0.4128105689151549,0.44044727959387525,0.1252063190377648,-0.3176023631639473,8,0,0,72,3,1.0,1.0
main,ecc_digest,8104,320,321,0,,1,1,731.725,733.7625,0.96875,0.9609375,0.53125,0.6875,0.5424322067751012,0.614558616203613,-0.025788068815972176,-0.21546417086183078,0,0,9,31,1,1.0,1.0
main,restoration_stack,8104,320,321,0,,1,1,678.7375,662.846875,0.9791666666666666,0.97265625,0.5625,0.671875,0.4360591295015812,0.46113285138475846,0.36125629990756225,-0.13370093968236718,6,240,8,63,2,1.0,1.0
main,sham_retirement_85,8104,320,275,1,275,1,0,700.13125,688.0125,0.9401041666666666,0.9205729166666666,0.6875,0.796875,0.5770691496994718,0.6685343801215191,-0.03025086625810558,-0.39719352748865155,3,0,0,29,1,1.0,1.0
pressure_disabled_null,capsule_baseline,8104,320,321,0,,1,1,731.725,733.7625,0.9505208333333334,0.94921875,0.65625,0.703125,0.0999549589993571,0.11039684805096239,0.4439241724849805,0.36314669904564545,0,0,0,30,1,1.0,1.0
pressure_disabled_null,restoration_stack,8104,320,321,0,,1,1,723.85,722.325,0.9713541666666666,0.9700520833333334,0.5,0.640625,0.09000441102864386,0.09958572195929123,0.6644205116194258,0.36760411091968703,0,240,5,31,2,1.0,1.0
main,capsule_baseline,8105,320,295,1,295,1,0,733.05625,740.00625,0.9114583333333334,0.88671875,0.78125,0.859375,0.6450625831561919,0.7003873764351961,-0.13740985070870515,-0.1385056629890582,0,0,0,30,1,1.0,1.0
main,scheduled_prune_80,8105,320,295,1,295,1,0,725.18125,728.56875,0.9114583333333334,0.88671875,0.78125,0.859375,0.625954030940424,0.672028080813743,-0.13530603776197525,-0.13530603776197525,0,240,0,30,1,1.0,1.0
main,fixed_retirement_85,8105,320,295,1,295,1,0,700.9,693.38125,0.9114583333333334,0.9010416666666666,0.78125,0.828125,0.6031235880688571,0.6082120852859635,-0.13057583441451737,-0.13057583441451737,3,0,0,49,2,1.0,1.0
main,telemetry_breaker,8105,320,295,1,295,1,0,650.0375,634.5375,0.9661458333333334,0.9453125,0.625,0.71875,0.45341043607471193,0.44858680628163505,0.1317611511619421,-0.03623583808580921,8,0,0,77,5,1.0,1.0
main,ecc_digest,8105,320,295,1,295,1,0,733.05625,740.00625,0.9427083333333334,0.9388020833333334,0.625,0.71875,0.5797684602259856,0.6063986097081491,0.1470906046060545,-0.07093141683217219,0,0,10,32,1,1.0,1.0
main,restoration_stack,8105,320,321,0,,1,1,661.1875,649.275,0.9609375,0.9674479166666666,0.53125,0.625,0.43355697170980206,0.4346542493151566,0.23352049095567484,0.18113678700280933,6,240,8,60,1,1.0,1.0
main,sham_retirement_85,8105,320,295,1,295,1,0,700.9,693.38125,0.9114583333333334,0.88671875,0.78125,0.859375,0.6450625831561919,0.7003873764351961,-0.13740985070870515,-0.1385056629890582,3,0,0,30,1,1.0,1.0
pressure_disabled_null,capsule_baseline,8105,320,321,0,,1,1,733.05625,740.00625,0.9557291666666666,0.9388020833333334,0.71875,0.828125,0.09759789742968816,0.10662588076800042,0.6583309417856485,0.513578935155961,0,0,0,29,1,1.0,1.0
pressure_disabled_null,restoration_stack,8105,320,321,0,,1,1,725.18125,728.56875,0.9869791666666666,0.9700520833333334,0.59375,0.703125,0.08662438147559885,0.0937425611197255,0.7429457809182558,0.5202988428441788,0,240,8,30,1,1.0,1.0
main,capsule_baseline,8106,320,70,1,70,0,0,732.56875,742.534375,0.8619791666666666,0.875,0.9375,0.921875,0.6841574898702172,0.7071390906538176,-0.27034006805145694,-0.41900366614166407,0,0,0,31,1,1.0,1.0
main,scheduled_prune_80,8106,320,70,1,70,0,0,724.69375,731.096875,0.8619791666666666,0.8802083333333334,0.9375,0.890625,0.6628104943002937,0.6652407782785288,-0.22323399153919143,-0.37483679444507256,0,240,0,31,1,1.0,1.0
main,fixed_retirement_85,8106,320,70,1,70,0,0,700.975,696.253125,0.890625,0.90625,0.90625,0.859375,0.5987404487140201,0.5948037729081714,-0.05249131781750016,-0.34764093462465717,3,0,0,47,1,1.0,1.0
main,telemetry_breaker,8106,320,255,1,255,1,0,632.61875,637.565625,0.9427083333333334,0.9309895833333334,0.75,0.765625,0.43208936821074806,0.4423809038175367,-0.09271392973403203,-0.3391730910852271,8,0,0,79,2,1.0,1.0
main,ecc_digest,8106,320,255,1,255,1,0,732.56875,742.534375,0.9088541666666666,0.9283854166666666,0.96875,0.859375,0.6218040508567568,0.6375606537235632,0.06776838051021228,-0.25268052196858615,0,0,8,31,1,1.0,1.0
main,restoration_stack,8106,320,255,1,255,1,0,629.90625,629.440625,0.9479166666666666,0.9479166666666666,0.78125,0.75,0.41408618888882714,0.42153759084118303,0.22724027369930855,-0.16075036643308116,8,240,5,78,1,1.0,1.0
main,sham_retirement_85,8106,320,70,1,70,0,0,700.975,696.253125,0.8619791666666666,0.875,0.9375,0.921875,0.6841574898702172,0.7071390906538176,-0.22627083728222597,-0.3608113584493564,3,0,0,31,1,1.0,1.0
pressure_disabled_null,capsule_baseline,8106,320,70,1,70,0,0,732.56875,742.534375,0.8723958333333334,0.8854166666666666,0.90625,0.875,0.11370998621177208,0.11851316771206248,0.4352165809929378,0.2136890529090536,0,0,0,31,1,1.0,1.0
pressure_disabled_null,restoration_stack,8106,320,255,1,255,1,0,724.69375,731.096875,0.9140625,0.9309895833333334,0.9375,0.828125,0.10280000028247951,0.10520212134568623,0.5402689289465583,0.3352036616024969,0,240,8,31,1,1.0,1.0
main,capsule_baseline,8107,320,70,1,70,0,0,729.90625,738.2125,0.7994791666666666,0.87890625,0.96875,0.859375,0.7659441743935032,0.7056986445259865,-0.5380486812303449,-0.5380486812303449,0,0,0,31,0,1.0,1.0
main,scheduled_prune_80,8107,320,70,1,70,0,0,722.03125,726.775,0.7994791666666666,0.87890625,0.96875,0.859375,0.7384543369825364,0.6743721085703152,-0.5380486812303449,-0.5380486812303449,0,240,0,31,0,1.0,1.0
main,fixed_retirement_85,8107,320,70,1,70,0,0,699.34375,691.9625,0.8307291666666666,0.8971354166666666,0.875,0.8125,0.6800166741536838,0.613039983223419,-0.5380486812303449,-0.5380486812303449,3,0,0,47,0,1.0,1.0
main,telemetry_breaker,8107,320,70,1,70,0,0,620.66875,631.95,0.9192708333333334,0.9388020833333334,0.78125,0.765625,0.45502415533811486,0.4648810446034951,-0.013976062832691927,-0.013976062832691927,8,0,0,78,1,1.0,1.0
main,ecc_digest,8107,320,321,0,,1,1,729.90625,738.2125,0.8984375,0.93359375,0.875,0.8125,0.6931333700757751,0.6455935572609185,-0.3830554946162439,-0.3830554946162439,0,0,10,31,0,1.0,1.0
main,restoration_stack,8107,320,321,0,,1,1,592.64375,627.653125,0.9479166666666666,0.9609375,0.75,0.71875,0.46111895092039407,0.4558617427191279,0.06926426037137579,0.06926426037137579,7,240,6,72,1,1.0,1.0
main,sham_retirement_85,8107,320,70,1,70,0,0,699.34375,691.9625,0.7994791666666666,0.87890625,0.96875,0.859375,0.7659441743935032,0.7056986445259865,-0.5380486812303449,-0.5380486812303449,3,0,0,31,0,1.0,1.0
pressure_disabled_null,capsule_baseline,8107,320,75,1,75,0,0,729.90625,738.2125,0.8776041666666666,0.9205729166666666,0.90625,0.8125,0.11903997064532497,0.1161157577216961,0.3666327702285771,0.3666327702285771,0,0,0,30,0,1.0,1.0
pressure_disabled_null,restoration_stack,8107,320,321,0,,1,1,722.03125,726.775,0.9609375,0.9674479166666666,0.71875,0.703125,0.09915242705501162,0.09819849025105709,0.5446343101905864,0.5446343101905864,0,240,9,31,0,1.0,1.0
main,capsule_baseline,8108,320,270,1,270,1,0,734.1625,744.5625,0.9453125,0.9140625,0.71875,0.828125,0.5935099909501377,0.6830000458809622,-0.07467189932488494,-0.28517683439211217,0,0,0,30,2,1.0,1.0
main,scheduled_prune_80,8108,320,270,1,270,1,0,726.2875,733.125,0.9453125,0.9140625,0.71875,0.828125,0.5725935537857451,0.6433649394370458,-0.07467189932488494,-0.2781415922687458,0,240,0,30,2,1.0,1.0
main,fixed_retirement_85,8108,320,270,1,270,1,0,705.19375,697.859375,0.9453125,0.9140625,0.6875,0.8125,0.5505482325385869,0.6011920452156045,-0.07467189932488494,-0.2605382682157702,3,0,0,47,4,1.0,1.0
main,telemetry_breaker,8108,320,270,1,270,1,0,641.11875,636.921875,0.9635416666666666,0.9388020833333334,0.59375,0.6875,0.4278335445860096,0.4673023873024172,0.2249071443275258,0.15930314926571598,8,0,0,72,2,1.0,1.0
main,ecc_digest,8108,320,270,1,270,1,0,734.1625,744.5625,0.9869791666666666,0.953125,0.5625,0.6875,0.5340048034587467,0.6115825099517418,0.11764398950659638,0.0082858120082413,0,0,8,30,2,1.0,1.0
main,restoration_stack,8108,320,321,0,,1,1,675.55625,648.80625,0.9869791666666666,0.96484375,0.4375,0.578125,0.42293597824504675,0.453326925252334,0.26148028689509983,0.1947394918769607,6,240,7,63,3,1.0,1.0
main,sham_retirement_85,8108,320,270,1,270,1,0,705.19375,697.859375,0.9453125,0.9140625,0.71875,0.828125,0.5935099909501377,0.6830000458809622,-0.07467189932488494,-0.28517683439211217,3,0,0,30,2,1.0,1.0
pressure_disabled_null,capsule_baseline,8108,320,270,1,270,1,0,734.1625,744.5625,0.9453125,0.9140625,0.71875,0.828125,0.10410166981661113,0.11908743155230246,0.4252149042753668,0.3512714386641047,0,0,0,30,2,1.0,1.0
pressure_disabled_null,restoration_stack,8108,320,270,1,270,1,0,726.2875,733.125,0.9869791666666666,0.953125,0.5625,0.6875,0.0928519254584666,0.10568708123535339,0.5856603570918036,0.5086948748404106,0,240,8,30,2,1.0,1.0
main,capsule_baseline,8109,320,75,1,75,0,0,731.7375,739.696875,0.8854166666666666,0.921875,0.78125,0.796875,0.7628656954282321,0.6963349133496801,-0.7656689675524784,-0.7656689675524784,0,0,0,30,0,1.0,1.0
main,scheduled_prune_80,8109,320,75,1,75,0,0,723.8625,728.259375,0.8854166666666666,0.921875,0.78125,0.796875,0.7373258106687995,0.6686206735880035,-0.7019325500784555,-0.7019325500784555,0,240,0,30,0,1.0,1.0
main,fixed_retirement_85,8109,320,75,1,75,0,0,701.45625,692.775,0.9088541666666666,0.9375,0.75,0.765625,0.6067635311011752,0.5626732668317577,-0.4612648040000735,-0.4612648040000735,3,0,0,48,0,1.0,1.0
