condition,policy,seed,cycle,tip_id,tip_depth,receipt_used,success,recovery_cost,failure_reason
uniform_null,no_intervention,5101,8,un-5101-008,2,0,1,3,
uniform_null,no_intervention,5101,16,un-5101-011,3,0,1,4,
uniform_null,no_intervention,5101,24,un-5101-021,4,0,0,1,visible_parent_lost
uniform_null,no_intervention,5101,32,un-5101-029,4,0,0,3,visible_parent_lost
uniform_null,no_intervention,5101,40,un-5101-037,4,0,0,1,visible_parent_lost
uniform_null,no_intervention,5101,48,un-5101-048,4,0,0,1,visible_parent_lost
uniform_null,logging_only,5101,8,un-5101-008,2,1,1,3,
uniform_null,logging_only,5101,16,un-5101-011,3,1,0,1,receipt_reference_unavailable
uniform_null,logging_only,5101,24,un-5101-021,4,1,1,5,
uniform_null,logging_only,5101,32,un-5101-029,4,1,1,5,
uniform_null,logging_only,5101,40,un-5101-037,4,1,1,5,
uniform_null,logging_only,5101,48,un-5101-048,4,1,1,5,
uniform_null,random_repair,5101,8,un-5101-008,2,1,1,3,
uniform_null,random_repair,5101,16,un-5101-011,4,1,1,5,
uniform_null,random_repair,5101,24,un-5101-011,4,1,1,5,
uniform_null,random_repair,5101,32,un-5101-031,5,1,1,6,
uniform_null,random_repair,5101,40,un-5101-031,5,1,1,6,
uniform_null,random_repair,5101,48,un-5101-031,5,1,1,6,
uniform_null,oldest_first,5101,8,un-5101-008,3,1,1,4,
uniform_null,oldest_first,5101,16,un-5101-016,4,1,1,5,
uniform_null,oldest_first,5101,24,un-5101-020,4,1,1,5,
uniform_null,oldest_first,5101,32,un-5101-029,5,1,1,6,
uniform_null,oldest_first,5101,40,un-5101-029,5,1,1,6,
uniform_null,oldest_first,5101,48,un-5101-048,5,1,1,6,
uniform_null,tip_targeted,5101,8,un-5101-008,2,1,1,3,
uniform_null,tip_targeted,5101,16,un-5101-016,3,1,1,4,
uniform_null,tip_targeted,5101,24,un-5101-021,4,1,0,3,receipt_reference_unavailable
uniform_null,tip_targeted,5101,32,un-5101-029,4,1,1,5,
uniform_null,tip_targeted,5101,40,un-5101-037,4,1,0,4,receipt_reference_unavailable
uniform_null,tip_targeted,5101,48,un-5101-048,4,1,1,5,
least_capture_balancer,no_intervention,5101,8,le-5101-008,3,0,1,4,
least_capture_balancer,no_intervention,5101,16,le-5101-012,5,0,0,3,visible_parent_lost
least_capture_balancer,no_intervention,5101,24,le-5101-012,5,0,0,2,visible_parent_lost
least_capture_balancer,no_intervention,5101,32,le-5101-012,5,0,0,1,visible_parent_lost
least_capture_balancer,no_intervention,5101,40,le-5101-012,5,0,0,1,visible_parent_lost
least_capture_balancer,no_intervention,5101,48,le-5101-012,5,0,0,1,visible_parent_lost
least_capture_balancer,logging_only,5101,8,le-5101-008,3,1,0,2,receipt_reference_unavailable
least_capture_balancer,logging_only,5101,16,le-5101-012,5,1,1,6,
least_capture_balancer,logging_only,5101,24,le-5101-012,5,1,1,6,
least_capture_balancer,logging_only,5101,32,le-5101-012,5,1,1,6,
least_capture_balancer,logging_only,5101,40,le-5101-012,5,1,1,6,
least_capture_balancer,logging_only,5101,48,le-5101-012,5,1,0,2,receipt_reference_unavailable
least_capture_balancer,random_repair,5101,8,le-5101-008,4,1,1,5,
least_capture_balancer,random_repair,5101,16,le-5101-012,5,1,1,6,
least_capture_balancer,random_repair,5101,24,le-5101-012,5,1,1,6,
least_capture_balancer,random_repair,5101,32,le-5101-012,5,1,1,6,
least_capture_balancer,random_repair,5101,40,le-5101-012,5,1,1,6,
least_capture_balancer,random_repair,5101,48,le-5101-012,5,1,0,3,receipt_reference_unavailable
least_capture_balancer,oldest_first,5101,8,le-5101-008,3,1,0,3,receipt_reference_unavailable
least_capture_balancer,oldest_first,5101,16,le-5101-012,6,1,0,4,receipt_reference_unavailable
least_capture_balancer,oldest_first,5101,24,le-5101-012,6,1,1,7,
least_capture_balancer,oldest_first,5101,32,le-5101-012,6,1,1,7,
least_capture_balancer,oldest_first,5101,40,le-5101-039,7,1,1,8,
