condition,policy,seed,cycles,violations,first_failure_cycle,n_f,final_active_unresolved,final_active_tips,max_active_unresolved,max_burial_depth,mean_top_decile_capture,mean_top_decile_expected_share,frontier_capture_lift,walker_attachment_count,walker_fallback_count,walker_fallback_rate,mean_walker_steps,largest_branch_share,branch_hhi,repair_attempts,repair_successes,repair_budget_used,recovery_probes,recovery_successes,recovery_rate,mean_recovery_cost,mean_recovery_depth,mean_interior_shielded_cycles,receipt_enabled
uniform_null,no_intervention,5101,48,14,32,32,48,27,48,4,0.1111111111111111,0.16246728233768215,-0.051356171226571046,0,0,,,0.6666666666666666,0.45572916666666663,0,0,0,6,2,0.3333333333333333,3.5,3.5,14.857142857142858,0
uniform_null,logging_only,5101,48,14,32,32,48,27,48,4,0.1111111111111111,0.16246728233768215,-0.051356171226571046,0,0,,,0.6666666666666666,0.45572916666666663,0,0,0,6,5,0.8333333333333334,4.6,3.5,14.857142857142858,1
uniform_null,random_repair,5101,48,14,39,39,36,22,36,5,0.08333333333333333,0.17216170304894324,-0.08882836971560991,0,0,,,0.4722222222222222,0.2638888888888889,12,12,12,6,6,1.0,5.166666666666667,4.166666666666667,10.285714285714286,1
uniform_null,oldest_first,5101,48,14,39,39,37,25,37,5,0.1388888888888889,0.17261942178623188,-0.033730532897342985,0,0,,,0.3783783783783784,0.2008765522279036,12,11,12,6,6,1.0,5.333333333333333,4.333333333333333,8.416666666666666,1
uniform_null,tip_targeted,5101,48,14,39,39,37,21,37,4,0.19444444444444445,0.17313349105030115,0.021310953394143295,0,0,,,0.8108108108108109,0.6712929145361578,12,11,12,6,4,0.6666666666666666,4.25,3.5,12.625,1
least_capture_balancer,no_intervention,5101,48,14,32,32,48,12,48,5,0.9166666666666666,0.16246728233768215,0.7541993843289845,0,0,,,0.125,0.08854166666666666,0,0,0,6,1,0.16666666666666666,4.0,4.666666666666667,23.11111111111111,0
least_capture_balancer,logging_only,5101,48,14,32,32,48,12,48,5,0.9166666666666666,0.16246728233768215,0.7541993843289845,0,0,,,0.125,0.08854166666666666,0,0,0,6,4,0.6666666666666666,6.0,4.666666666666667,23.11111111111111,1
least_capture_balancer,random_repair,5101,48,14,39,39,36,19,36,5,0.7222222222222222,0.17216170304894324,0.550060519173279,0,0,,,0.08333333333333333,0.08333333333333333,12,12,12,6,5,0.8333333333333334,5.8,4.833333333333333,14.470588235294118,1
least_capture_balancer,oldest_first,5101,48,14,39,39,38,12,38,7,0.8333333333333334,0.16625862145307257,0.6670747118802608,0,0,,,0.10526315789473684,0.0858725761772853,12,10,12,6,4,0.6666666666666666,7.5,5.833333333333333,16.307692307692307,1
least_capture_balancer,tip_targeted,5101,48,14,39,39,38,12,38,3,0.7222222222222222,0.17249893544262726,0.5497232867795949,0,0,,,0.13157894736842105,0.10249307479224376,12,10,12,6,6,1.0,3.8333333333333335,2.8333333333333335,20.115384615384617,1
diffusive_first_contact,no_intervention,5101,48,14,32,32,48,21,48,7,0.3611111111111111,0.16246728233768215,0.19864382877342895,36,0,0.0,268.75,0.3333333333333333,0.1640625,0,0,0,6,1,0.16666666666666666,4.0,5.5,19.962962962962962,0
diffusive_first_contact,logging_only,5101,48,14,32,32,48,21,48,7,0.3611111111111111,0.16246728233768215,0.19864382877342895,36,0,0.0,268.75,0.3333333333333333,0.1640625,0,0,0,6,2,0.3333333333333333,6.0,5.5,19.962962962962962,1
diffusive_first_contact,random_repair,5101,48,14,39,39,38,18,38,8,0.3333333333333333,0.17358175709454243,0.15975157623879088,36,0,0.0,244.44444444444446,0.2894736842105263,0.15650969529085873,12,10,12,6,5,0.8333333333333334,6.0,5.0,16.25,1
diffusive_first_contact,oldest_first,5101,48,14,39,39,39,20,39,5,0.3888888888888889,0.1720181301748869,0.216870758714002,36,0,0.0,299.8611111111111,0.1282051282051282,0.09533201840894147,12,9,12,6,4,0.6666666666666666,5.25,4.0,16.263157894736842,1
diffusive_first_contact,tip_targeted,5101,48,14,39,39,39,18,39,4,0.3888888888888889,0.1700088608650767,0.2188800280238122,36,0,0.0,279.72222222222223,0.28205128205128205,0.2044707429322814,12,9,12,6,4,0.6666666666666666,4.0,3.1666666666666665,18.476190476190474,1
